Designator,Mid X,Mid Y,Layer,Rotation
U24,221,-80.5,top,0
U24,224,-79.5,top,0
U24,221,-79.5,top,0
U24,224,-80.5,top,0
U24,208.5,-55.5,top,0
U24,211.5,-54.5,top,0
U24,208.5,-54.5,top,0
U24,211.5,-55.5,top,0
U24,110.5,-54.5,top,0
U24,107.5,-54.5,top,0
U24,110.5,-55.5,top,0
U24,107.5,-55.5,top,0
U24,110.5,-80.5,top,0
U24,110.5,-79.5,top,0
U24,107.5,-79.5,top,0
U24,107.5,-80.5,top,0
U24,146.75,-61.0,top,0
U24,156.75,-49.0,top,0
U24,156.75,-48.0,top,0
U24,153.75,-48.0,top,0
U24,153.75,-49.0,top,0
U24,146.75,-48.0,top,0
U24,146.75,-49.0,top,0
U24,149.75,-48.0,top,0
U24,156.75,-62.0,top,0
U24,156.75,-61.0,top,0
U24,153.75,-61.0,top,0
U24,153.75,-62.0,top,0
U24,149.75,-49.0,top,0
U24,146.75,-62.0,top,0
U24,149.75,-61.0,top,0
U24,149.75,-62.0,top,0
U24,151,-74.0,top,0
U24,151,-73.0,top,0
U24,148,-73.0,top,0
U24,148,-74.0,top,0
U24,151,-87.0,top,0
U24,151,-86.0,top,0
U24,148,-86.0,top,0
U24,148,-87.0,top,0
U24,144,-74.0,top,0
U24,144,-73.0,top,0
U24,141,-73.0,top,0
U24,141,-74.0,top,0
U24,144,-87.0,top,0
U24,144,-86.0,top,0
U24,141,-86.0,top,0
U24,141,-87.0,top,0
R202,131.75,-49.75,top,90
R201,125,-60.5,top,270
U201,125.5,-58.0,top,270
U203,129,-57.25,top,90
C201,131.75,-52.75,top,270
U206,125.5,-52.0,top,270
U205,125.5,-56.0,top,270
U204,129,-52.75,top,90
U202,125.5,-54.0,top,270
J202,148.75,-55.0,top,270
C202,131.75,-57.25,top,270
J201,108.5,-55.0,top,90
C2,125.5,-73.5,top,90
C1,117,-73.5,top,90
U102,121.25,-73.75,top,0.0
C103,120.75,-71.5,top,180
J101,114,-87.62,top,180
U101,121.75,-80.75,top,90.0
C102,121,-86.75,top,0
C104,118.5,-74.0,top,90
R105,126.5,-76.5,top,90
R104,126.5,-85.25,top,90
R103,116.75,-78.0,top,90
R102,116.75,-84.25,top,270
R101,116.75,-80.75,top,90
J102,143,-80.0,bottom,90
C101,118.25,-86.75,top,180
C106,124,-74.0,top,90
R304,166.75,-82.25,top,90
R303,163.5,-89.25,top,0
U306,172.23,-71.25,top,-180.0
C309,173,-73.5,top,0
U312,197,-71.25,top,0
U311,197,-78.25,top,180
U310,197,-81.75,top,0
U309,197,-88.75,top,180
U301,163.25,-70.75,top,90
J305,199.75,-71.5,top,90
J304,199.75,-78.0,top,90
J303,199.75,-82.0,top,90
J302,199.75,-88.5,top,90
U314,185.75,-85.25,top,0.0
U313,185.75,-74.75,top,0.0
U308,197,-74.75,top,90
U307,197,-85.25,top,90
U305,177,-81.25,top,0
U304,171.25,-76.75,top,180
U303,171.25,-82.25,top,180
U302,171.25,-87.75,top,180
R316,193.75,-83.75,top,0
R315,193.75,-82.25,top,0
R314,193.75,-86.75,top,0
R313,193.75,-88.25,top,0
R312,181.75,-89.75,top,0
R311,180.5,-80.75,top,0
R310,193.75,-73.25,top,0
R309,193.75,-71.75,top,0
R308,193.75,-76.25,top,0
R307,193.75,-77.75,top,0
R306,181.75,-79.25,top,0
R305,180.5,-70.25,top,0
R301,165.5,-86.25,top,270
R302,165.5,-74.75,top,270
L301,178.25,-72.5,top,270
JP304,179.75,-89.0,top,90
JP303,186,-80.75,top,180
JP302,179.75,-78.5,top,90
JP301,186,-70.25,top,180
J301,149,-80.0,top,90
C325,191.75,-83.0,top,270
C324,191.75,-87.5,top,270
C323,183.25,-80.75,top,0
C322,184.5,-89.75,top,180
C321,179.75,-83.0,top,90
C320,191.75,-72.5,top,270
C319,191.75,-77.0,top,270
C318,183.25,-70.25,top,0
C317,184.5,-79.25,top,180
C316,179.75,-72.5,top,90
C315,178.25,-75.25,top,270
C312,199.25,-74.75,top,270
C314,176.75,-75.0,top,270
C310,199.25,-85.25,top,270
C313,175,-71.0,top,270
C311,176.75,-71.5,top,270
C308,169.5,-71.0,top,270
C307,165.75,-71.5,top,270
C305,177.25,-77.5,top,180
C306,167.75,-71.5,top,270
C304,166.25,-78.75,top,180
C303,166.25,-84.25,top,180
C302,166.25,-89.75,top,180
C301,160.75,-89.25,top,180
JP403,182.5,-53.5,top,0
JP402,182.5,-59.0,top,0
JP401,182.5,-64.5,top,0
R403,166.5,-64.25,top,180
R401,171.25,-58.75,top,90
R402,171.25,-48.75,top,270
C403,169.25,-64.25,top,0
U404,177.25,-51.25,top,180
U403,177.25,-56.75,top,180
U402,177.25,-62.25,top,180
U401,177.5,-46.75,top,-180.0
R415,182.5,-50.75,top,180
R414,172.75,-51.25,top,90
R413,182.5,-56.25,top,180
R412,172.75,-56.75,top,90
R411,182.5,-61.75,top,180
R410,172.75,-62.25,top,90
R409,182.5,-52.25,top,0
R408,182.5,-57.75,top,0
R407,182.5,-63.25,top,0
R406,182.5,-49.25,top,180
R405,182.5,-54.75,top,180
R404,182.5,-60.25,top,180
J402,193.5,-61.75,top,180
C409,172.75,-54.0,top,270
C408,172.75,-59.5,top,270
C407,172,-64.25,top,180
C406,183,-46.75,top,270
C405,180.75,-45.75,top,0
C404,180.75,-47.75,top,0
C402,174.75,-46.5,top,270
C401,173,-46.75,top,270
J401,154.75,-55.0,top,90
